========================================
  RECEPCION SUITE - AGENTE LOCAL
  Escuchando en http://localhost:3001
========================================
[AGENT] 2026-02-24T14:46:57.646Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:46:57.669Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:47:00.640Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:47:00.659Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:47:00.671Z - GET /api/auth/id
[AGENT] 2026-02-24T14:47:02.643Z - GET /api/admin/status
[AGENT] 2026-02-24T14:47:03.643Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:47:03.668Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:47:06.634Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:47:06.654Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:47:07.642Z - GET /api/admin/status
[AGENT] 2026-02-24T14:47:09.655Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:47:09.690Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:47:12.634Z - GET /api/admin/status
[AGENT] 2026-02-24T14:47:12.665Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:47:12.698Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:47:15.646Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:47:15.664Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:47:17.645Z - GET /api/admin/status
[AGENT] 2026-02-24T14:47:18.649Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:47:18.681Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:47:21.649Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:47:21.675Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:47:22.644Z - GET /api/admin/status
[AGENT] 2026-02-24T14:47:24.644Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:47:24.672Z - GET /api/admin/logs?target=remote
[AGENT] 2026-02-24T14:47:27.651Z - GET /api/admin/logs
[AGENT] 2026-02-24T14:47:27.652Z - GET /api/admin/status
[AGENT] 2026-02-24T14:47:27.678Z - GET /api/admin/logs?target=remote
